date	thanks i hate it	isPartial
2015-01-01	2	False
2015-02-01	0	False
2015-03-01	0	False
2015-04-01	0	False
2015-05-01	0	False
2015-06-01	0	False
2015-07-01	0	False
2015-08-01	2	False
2015-09-01	1	False
2015-10-01	0	False
2015-11-01	2	False
2015-12-01	0	False
2016-01-01	2	False
2016-02-01	4	False
2016-03-01	3	False
2016-04-01	0	False
2016-05-01	0	False
2016-06-01	4	False
2016-07-01	2	False
2016-08-01	0	False
2016-09-01	2	False
2016-10-01	5	False
2016-11-01	2	False
2016-12-01	5	False
2017-01-01	3	False
2017-02-01	2	False
2017-03-01	3	False
2017-04-01	0	False
2017-05-01	3	False
2017-06-01	0	False
2017-07-01	2	False
2017-08-01	3	False
2017-09-01	4	False
2017-10-01	19	False
2017-11-01	26	False
2017-12-01	21	False
2018-01-01	16	False
2018-02-01	8	False
2018-03-01	19	False
2018-04-01	20	False
2018-05-01	14	False
2018-06-01	30	False
2018-07-01	31	False
2018-08-01	33	False
2018-09-01	45	False
2018-10-01	39	False
2018-11-01	39	False
2018-12-01	41	False
2019-01-01	48	False
2019-02-01	49	False
2019-03-01	50	False
2019-04-01	83	False
2019-05-01	74	False
2019-06-01	66	False
2019-07-01	61	False
2019-08-01	66	False
2019-09-01	79	False
2019-10-01	100	False
2019-11-01	83	False
2019-12-01	64	False
2020-01-01	67	False
2020-02-01	60	False
2020-03-01	60	False
2020-04-01	52	False
2020-05-01	53	False
2020-06-01	53	False
2020-07-01	51	False
2020-08-01	40	False
2020-09-01	52	False
2020-10-01	39	False
2020-11-01	37	False
2020-12-01	29	False
2021-01-01	35	False
2021-02-01	29	False
2021-03-01	32	False
2021-04-01	39	False
2021-05-01	33	False
2021-06-01	35	False
2021-07-01	32	False
2021-08-01	30	False
2021-09-01	26	False
2021-10-01	24	False
2021-11-01	28	False
2021-12-01	30	False
2022-01-01	28	False
2022-02-01	25	False
2022-03-01	22	False
2022-04-01	27	False
2022-05-01	28	False
2022-06-01	23	False
2022-07-01	15	False
2022-08-01	19	False
2022-09-01	23	False
2022-10-01	17	False
2022-11-01	25	False
2022-12-01	29	False
2023-01-01	10	False
2023-02-01	17	False
2023-03-01	20	False
2023-04-01	17	False
2023-05-01	16	False
2023-06-01	16	False
2023-07-01	13	False
2023-08-01	15	False
2023-09-01	12	False
2023-10-01	15	False
2023-11-01	9	True
